[      0,       3;
     171,     133;
     172,     150;
     173,     112;
     174,     149;
     175,     110;
     176,     181;
     177,     160;
     178,     355;
     179,       8;
     180,       4;
     181,     140;
     182,     266;
     183,      95;
     184,     103;
     185,      74;
     186,     126;
     187,     113;
     188,      39;
     189,     177;
     190,     180;
     191,     196;
     192,      61;
     193,     158;
     194,      32;
     195,      47;
     196,     183;
     197,     121;
     198,     123;
     199,       7;
     200,     208;
     201,     308;
     202,     222;
     203,     209;
     204,     244;
     205,     226;
     206,     266;
     207,     249;
     208,     125;
     209,     409;
     210,     204;
     211,     200;
     212,     332;
     213,     353;
     214,     213;
     215,     234;
     216,     235;
     217,     231;
     218,     153;
     219,     217;
     220,     220;
     221,     230;
     222,     188;
     223,     240;
     224,     395;
     225,     321;
     226,     221;
     227,     212;
     228,     205;
     229,     308;
     230,      96;
     231,     203;
     232,     207;
     233,     214;
     234,     181;
     235,     390;
     236,      39;
     237,      76;
     238,       0;
     239,     278;
     240,     233;
     241,     131;
     242,     211;
     243,     206;
     244,     228;
     245,     216;
     246,     247;
     247,     218;
     248,     447;
     249,     253;
     250,     255;
     251,     357;
     252,     224;
     253,     374;
     254,     317;
     255,     436;
     256,     256;
     257,     144;
     258,     259;
     259,     244;
     260,     261;
     261,     331;
     262,     313;
     263,     166;
     264,     294;
     265,      10;
     266,     242;
     267,     275;
     268,     206;
     269,     270;
     270,     209;
     271,     307;
     272,     125;
     273,     258;
     274,     391;
     275,     374;
     276,     345;
     277,     294;
     278,     300;
     279,     313;
     280,     349;
     281,     276;
     282,     291;
     283,     279;
     284,     293;
     285,     405;
     286,     283;
     287,     287;
     288,     382;
     289,     381;
     290,     308;
     291,     234;
     292,     280;
     293,     235;
     294,     363;
     295,     319;
     296,     322;
     297,     274;
     298,     209;
     299,     295;
     300,     332;
     301,     195;
     302,     353;
     303,      95;
     304,     125;
     305,     333;
     306,     348;
     307,     294;
     308,     405;
     309,     311;
     310,     298;
     311,     240;
     312,     235;
     313,     306;
     314,     324;
     315,     304;
     316,     442;
     317,     282;
     318,     109;
     319,     304;
     320,     379;
     321,     286;
     322,     326;
     323,     277;
     324,     369;
     325,     285;
     326,     289;
     327,      96;
     328,      65;
     329,     123;
     330,     334;
     331,     318;
     332,      25;
     333,     267;
     334,      89;
     335,     336;
     336,     303;
     337,     398;
     338,     339;
     339,     371;
     340,     412;
     341,     364;
     342,     359;
     343,     369;
     344,     248;
     345,     392;
     346,     381;
     347,     330;
     348,     340;
     349,     475;
     350,     410;
     351,     379;
     352,     264;
     353,     346;
     354,     341;
     355,     365;
     356,     366;
     357,     345;
     358,     399;
     359,     113;
     360,     307;
     361,     404;
     362,     350;
     363,       9;
     364,     347;
     365,     417;
     366,     419;
     367,     351;
     368,     334;
     369,     373;
     370,     344;
     371,     343;
     372,     353;
     373,     361;
     374,     362;
     375,     209;
     376,     421;
     377,     333;
     378,     333;
     379,     387;
     380,     361;
     381,     164;
     382,     414;
     383,     126;
     384,     118;
     385,     347;
     386,     382;
     387,     314;
     388,     364;
     389,     406;
     390,     446;
     391,     448;
     392,     434;
     393,     401;
     394,     409;
     395,     393;
     396,     407;
     397,     400;
     398,     405;
     399,     450;
     400,     398;
     401,     353;
     402,     396;
     403,     404;
     404,     397;
     405,     416;
     406,     370;
     407,     399;
     408,     410;
     409,     499;
     410,     408;
     411,     433;
     412,      61;
     413,      64;
     414,     412;
     415,     312;
     416,     387;
     417,     169;
     418,     421;
     419,     427;
     420,     459;
     421,     345;
     422,     442;
     423,     463;
     424,     424;
     425,     423;
     426,     499;
     427,     364;
     428,     345;
     429,     442;
     430,     428;
     431,      81;
     432,     482;
     433,     200;
     434,     482;
     435,     456;
     436,     453;
     437,     475;
     438,     480;
     439,     438;
     440,     436;
     441,      86;
     442,     452;
     443,     439;
     444,     499;
     445,      61;
     446,     333;
     447,     447;
     448,     463;
     449,     446;
     450,     291;
     451,     449;
     452,     442;
     453,     458;
     454,     462;
     455,     443;
     456,     185;
     457,     461;
     458,     474;
     459,     297;
     460,     433;
     461,     459;
     462,     465;
     463,     413;
     464,     149;
     465,     417;
     466,     466;
     467,     427;
     468,     423;
     469,     476;
     470,     452;
     471,      25;
     472,     490;
     473,     481;
     474,     494;
     475,     471;
     476,     491;
     477,     485;
     478,     492;
     479,     493;
     480,     121;
     481,     403;
     482,     488;
     483,     480;
     484,     482;
     485,     483;
     486,     469;
     487,     489;
     488,     331;
     489,     495;
     490,     475;
     491,     456;
     492,     497;
     493,     498;
     494,     409;
     495,     474;
     496,     179;
     497,       4;
     498,     334;
     499,     487]
